emploi;revenu;genre;citoyennete;ethnie;minorite;religion;education;reseau_social;residence;naissance_pays_residence;cohabitation;droit_vote;province;naissance_province_residence;classe_sociale;classe_sociale_parents;langue;annee_naissance;province_naissance_parents;pays_naissance_parents;covid_satisfaction;covid_soin;covid_inquietude;covid_gestion;covid_jeune;immigration_ouverture;climat_economie;immigration_syrie;transition_energetique_taxes;confiance_police;securite_quartier;securite_gouvernement;securite_frontieres;immigration_quotas;climat_impact;minorites_partis;corruption;corruption_participation;mondialisation;covid_politiques;economie_preoccupation;deficit;corruption_evaluation_partis;economie_sociotropique;economie_egotropique;economie_satisfaction;representation_minorites;economie_criteres;enjeux_chomage;enjeux_environnement;enjeux_immigration;enjeux_economie;enjeux_education;enjeux_sante;climat_social;importance_immigration;importance_ecologie;economieCANADA_confiance;economieFRANCE_confiance;immigrationCANADA_confiance;immigrationFRANCE_confiance;inquietude_attentats;satisfaction_democracie;confiance_ChefEtat;altruisme_politiques;education_civique;ecoles;comprehension_elites;importance_vote;importance_representation;disproportion_electorale;reedition_compte;partis_votes;votes_objectif;votes_delais;importance_chef;engagement_politique;connaissances_politiqueUS;interet_politiqueUS;proche_parti;institutions_democratiques;vote_demonstration;importance_traits;trait_integrite;trait_leadership;trait_competence;trait_empathie;representation_partis;mode_scrutin;changement_scrutin;integration_localite;ideologie;vote_strategique;satisfaction_gouvernement;interet_politique;parti_liberal;parti_conservateur;ndp;bloc_quebecois;parti_vert;source_information;reseausociaux_cause;medias_traditionnels;couverture_influence;chaines_independance;medias_neutralite;biais_medias;niveau_information;consultation_sondage1;consultation_sondageFRANCE;consultation_sondageCANADA;principale_source;engagement_reseauxsociaux;abonnements_personnalites;plateforme;frequence_utilisation;inscription_reseauxsociaux;contact_information;effet_debats;importance_debatsTV;confiance_contenuRS;confiance_TVRadio;confiance_presseecrite;site_parti;like_parti;sophistication_etatsunis;sophistication_freeland;sophistication_legault;sophistication_macron;sophistication_pence;sophistication_singh;participation;quebec_2018;vote_US;vote_habitude;vote_memeparti;vote_france;vote_canada;vote_quebec;anciens_presidents;vote_nationaliste;aucune_preference;preference_parti;satisfaction_modescrutin;vote_chancesfavoris;importance_competence;premier_choix;autrechoix_frequence;refus_voteCANADA;refus_voteFRANCE;strategie_vote2;motivation;age
6;6;2;4;;2;3;3;2;2;1;1;1;;;2;1;1;2000;2;1;2;1;8;3;1;3;2;4;3;2;2;1;3;3;2;3;;5;2;3;2;;6;2;3;5;;3;;;;;;;2;7;1;;5;;;3;3;3;3;3;1;2;3;2;;2;2;;2;5;1;2;3;2;3;;3;;;;;3;3;;4;4;6;;2;7;;7;5;;2;1;3;2;4;2;3;5;2;;;2;3;3;1;7;4;2;0;5;3;3;3;1;1;2;5;4;2;3;1;;;;;;3;;;;;1;1;3;3;7;;5;;;;1;20
6;6;2;4;;2;4;3;2;2;1;2;1;;;3;1;1;2000;2;1;2;1;8;3;2;3;2;3;3;4;1;2;2;3;1;3;2;7;2;4;2;;6;2;3;3;2;2;6;2;4;5;1;3;2;7;1;;5;;3;2;2;4;3;4;2;3;1;2;3;4;3;1;1;5;3;5;2;3;2;3;5;3;2;1;4;2;2;3;8;3;5;3;7;4;3;5;4;6;3;1;2;3;4;4;2;2;3;;;3;2;3;1;7;4;4;4;8;2;3;3;3;1;2;5;4;2;3;1;1;;2;1;1;3;;;2;;1;1;2;1;7;1;;;4;;1;20
2;1;2;1;13;1;1;3;1;1;2;1;1;6;2;1;1;1;2000;2;2;3;2;5;4;6;1;1;5;5;3;2;1;1;5;1;7;1;11;2;2;2;1;10;2;3;4;;3;2;1;3;4;5;6;2;6;4;7;;6;;;3;3;1;4;2;1;2;2;3;2;4;3;2;10;3;5;4;2;2;2;;4;1;3;2;2;3;3;6;5;6;2;8;;7;;;;2;3;3;2;6;1;1;2;2;;;3;1;2;1;7;4;3;1;4;2;2;2;3;3;;;;;;;1;8;2;;;;;6;2;3;3;3;3;1;10;2;5;6;;3;3;20
2;1;2;18;;1;4;3;1;1;2;1;1;6;2;1;2;1;1999;2;2;3;2;8;3;2;3;2;4;3;1;1;1;3;3;2;3;2;6;3;3;2;1;10;2;2;4;1;1;6;5;4;1;2;3;3;2;2;6;;3;;;3;4;4;2;3;3;2;3;3;2;2;2;3;5;3;8;3;2;2;2;8;1;2;3;4;3;3;4;8;8;9;3;6;5;5;5;5;5;3;1;2;2;2;3;2;3;2;;;4;2;2;1;5;3;3;10;10;2;2;2;3;1;2;5;4;2;3;1;1;3;2;1;2;;3;;;0;1;1;2;1;8;1;5;2;;;1;21
1;5;1;4;;2;4;4;1;2;1;2;1;;;3;2;1;1974;2;1;3;2;9;3;;2;3;;5;1;1;1;3;5;4;;4;11;4;4;1;2;10;2;2;2;3;3;4;1;3;5;6;2;2;7;2;;3;;6;3;2;4;2;2;2;2;2;1;1;1;2;1;1;10;1;5;2;2;3;3;10;2;3;4;1;2;2;3;10;7;0;2;5;7;3;;;;1;1;1;2;6;1;1;1;1;5;;4;3;3;;5;3;2;5;10;2;4;3;3;3;;;;2;;;1;;1;3;1;2;;;2;;3;3;1;5;10;1;5;;1;;2;46
1;2;1;4;;1;4;2;2;1;2;1;2;6;2;1;1;1;1998;2;2;2;2;1;2;5;2;1;2;2;5;4;1;1;4;1;4;;11;2;3;1;2;7;2;1;3;3;2;6;5;2;1;4;3;1;10;2;4;;4;;;1;2;1;4;1;1;3;1;3;3;1;3;3;5;3;4;4;2;3;4;7;4;3;2;1;3;3;3;5;4;2;4;0;0;2;2;4;5;2;;2;1;3;2;4;3;3;;;3;2;2;2;4;;4;4;4;3;3;3;2;1;3;1;1;2;3;3;1;5;1;3;2;;3;2;5;;2;2;3;3;;2;3;2;;;2;22
3;3;2;1;4;2;2;2;1;1;1;2;1;6;1;1;2;1;1967;1;1;1;1;7;1;1;3;3;1;3;1;1;1;4;5;3;1;2;1;2;1;2;2;0;2;1;1;3;;6;5;3;2;4;1;2;5;2;1;;1;;;1;5;5;6;1;6;1;1;6;1;6;1;1;10;1;3;2;1;2;1;10;4;3;2;1;1;1;5;8;4;3;1;7;10;5;6;7;4;2;3;1;3;5;1;1;2;2;;;2;1;1;3;4;1;2;0;0;3;2;2;3;3;2;3;4;2;5;1;1;3;2;2;1;;1;1;1;0;1;1;1;1;10;1;1;5;;;2;53
5;1;1;1;4;2;3;3;2;1;1;2;1;6;1;1;1;1;1999;1;1;3;2;2;3;3;3;2;4;2;2;2;4;3;4;1;1;2;11;4;4;2;2;10;2;1;2;2;2;5;2;4;6;1;3;2;4;1;4;;4;;;2;2;3;2;1;5;2;6;2;2;4;1;1;8;3;8;2;1;1;3;8;2;3;1;4;2;4;1;10;3;0;3;9;2;2;5;7;7;4;1;2;1;5;5;2;2;1;;1;4;;1;3;7;1;4;0;10;2;2;4;3;3;2;5;4;2;3;1;1;4;2;2;1;;4;4;4;10;1;1;4;2;8;1;5;2;;;1;21
;6;1;4;;2;4;;1;2;1;1;1;;;1;;1;1998;1;1;3;2;8;3;;6;3;;2;3;5;2;3;3;2;;1;4;3;;2;;0;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22
9;2;2;4;;2;2;3;2;2;1;1;1;;;3;2;1;2001;1;1;2;2;0;3;;5;1;2;1;1;2;1;1;1;1;;3;7;3;1;3;2;7;2;1;2;3;;5;6;2;1;4;3;2;10;1;;3;;6;2;2;4;3;5;1;4;1;1;5;5;2;1;1;10;1;1;3;2;2;3;6;1;3;2;4;;;;10;5;1;2;3;5;3;5;5;8;1;2;3;4;4;1;6;3;2;;;2;2;2;1;5;4;4;0;10;1;1;2;1;1;;;;2;;;1;;;1;;2;;;2;;1;1;1;1;10;1;2;;7;;1;19
6;3;1;4;;2;2;3;1;2;1;1;1;;;1;1;1;2001;2;1;4;2;1;3;5;5;2;1;5;2;2;1;1;1;2;1;1;4;3;4;2;2;1;2;3;3;5;3;3;1;2;4;6;5;2;10;1;;7;;6;1;3;2;1;6;6;5;2;1;1;2;4;5;3;7;1;6;2;1;4;4;8;3;2;1;4;2;3;2;10;10;0;3;10;2;7;5;10;2;2;1;2;2;6;5;5;1;1;6;;3;2;2;1;6;4;4;8;10;2;2;2;3;1;2;5;4;2;3;1;1;;1;2;;5;;;1;;1;1;3;1;10;1;;;4;;1;19
6;1;1;1;4;2;4;3;2;1;1;2;2;6;2;3;1;1;2001;1;1;3;;7;3;1;4;2;2;2;2;4;3;2;2;1;7;;9;4;;1;1;7;2;3;2;3;2;4;5;6;2;1;3;2;8;1;;;;;;2;3;2;5;1;2;1;3;2;2;2;;;7;3;6;2;;;3;5;3;2;1;4;;;;7;5;5;;4;;3;;5;;4;2;2;2;4;4;3;3;2;;;4;1;2;4;6;4;3;6;10;3;3;3;1;1;2;;4;2;3;;1;8;2;;;;;;1;5;1;2;3;2;8;;;;;;1;19
6;1;2;18;;2;4;3;2;1;2;2;2;6;2;1;1;1;2001;2;2;2;2;8;3;3;4;1;4;3;2;1;1;2;3;1;3;3;11;2;3;1;1;10;3;3;2;3;3;5;2;6;4;1;3;3;5;1;1;;1;;;2;5;4;6;1;3;1;2;3;3;2;1;1;5;3;6;2;2;2;3;7;3;2;4;1;3;2;3;5;6;7;2;8;6;0;5;0;8;4;1;2;1;3;3;5;2;1;;1;4;2;3;3;5;3;3;0;10;1;3;3;3;1;2;5;4;2;3;1;;;2;;;;5;5;2;0;1;1;2;1;6;3;;2;;;1;19
;3;1;4;;2;3;4;2;2;1;1;1;;;3;1;1;2001;2;1;3;2;4;3;;2;1;4;2;2;2;2;2;3;1;7;2;9;2;3;2;1;7;2;3;3;2;;5;6;2;4;1;3;3;4;2;;;;;2;2;2;2;2;2;3;1;2;2;4;3;1;1;;1;4;2;2;3;;6;4;3;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19
1;1;2;4;;1;2;2;2;2;1;1;1;;;2;1;1;2001;2;2;3;2;0;4;;3;3;4;5;5;5;4;4;4;2;;2;11;3;3;1;1;10;3;1;3;2;;5;2;3;1;6;4;2;5;2;;;;;3;4;1;1;6;2;1;2;1;;2;1;2;2;6;3;5;1;2;3;3;5;4;1;3;2;3;;2;3;4;5;3;5;1;0;;;7;2;1;1;1;5;1;1;3;2;;;3;1;2;1;6;4;3;0;10;3;3;1;1;3;;;;2;;;1;;2;4;2;;;;2;;1;1;3;1;0;;;;3;;1;19
2;1;1;4;;2;4;4;2;2;1;1;1;;;1;2;1;2000;1;1;3;1;4;2;;6;3;3;2;2;2;2;2;3;2;;1;11;4;2;2;1;;;;;;2;;;;;;;2;5;2;;7;;7;5;3;3;3;5;1;5;;1;4;6;2;1;1;3;4;3;3;2;2;4;6;2;3;4;1;3;2;3;6;6;7;2;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;4;2;;;;1;;3;3;3;2;6;1;4;;7;;1;20
6;;2;4;;2;4;3;1;1;2;2;2;6;2;1;1;1;2001;2;2;2;2;8;3;2;1;1;5;2;5;2;4;5;5;1;3;2;9;3;4;1;;9;2;2;3;1;2;2;6;1;4;5;3;2;1;1;3;;3;;;4;2;2;4;1;4;1;2;1;2;2;1;1;7;3;9;1;1;2;3;7;4;3;1;2;3;4;2;8;1;0;4;9;2;0;8;1;6;2;1;1;3;5;5;2;1;2;;;3;;1;4;7;4;4;0;10;3;2;3;3;1;2;5;4;2;3;1;1;8;2;1;;;3;4;;7;1;1;4;1;9;;5;2;;;1;19
1;3;2;4;;2;3;4;2;2;1;2;1;;;3;1;1;1965;1;1;2;2;5;2;;4;3;2;4;2;2;2;1;2;2;7;3;9;3;3;1;2;8;2;2;3;2;3;4;6;5;3;2;1;2;7;2;;2;;3;2;2;4;3;3;3;2;1;2;1;2;2;1;2;7;1;3;2;1;3;3;7;3;1;2;4;2;2;2;6;7;5;2;6;6;2;;;3;1;4;2;2;3;2;3;2;2;;;1;3;3;;2;1;2;7;7;3;3;2;1;1;2;;;2;;;1;;2;2;1;1;;;5;;1;3;3;1;8;1;4;;4;;1;55
;5;1;1;4;2;4;4;2;1;1;1;1;6;1;3;1;1;1997;1;1;2;2;4;3;2;2;2;5;1;1;1;2;3;4;1;1;3;8;2;3;2;2;5;2;1;1;2;2;5;2;6;4;3;1;2;3;2;1;;4;;;2;4;5;1;1;5;1;2;2;1;6;1;1;2;1;8;1;1;1;1;6;3;1;2;4;2;4;1;10;4;6;2;10;4;2;5;8;5;3;1;1;2;2;3;1;1;1;;1;4;3;1;3;5;3;3;6;10;3;4;4;3;3;2;5;4;2;3;1;1;2;2;1;1;;4;2;5;10;3;1;4;1;7;1;3;2;;;1;23
6;1;2;1;;2;3;4;1;1;1;2;1;6;1;1;1;1;1997;1;1;3;2;6;3;;3;1;5;3;5;1;1;3;5;1;3;1;7;3;3;2;2;7;2;1;2;2;3;2;5;3;6;1;4;3;6;1;6;;3;;;3;2;2;4;3;5;2;6;1;3;3;2;2;9;1;4;3;1;2;3;4;3;1;2;4;3;1;1;10;2;5;3;4;2;0;6;6;4;4;1;2;2;4;2;5;2;2;;;4;2;1;3;5;2;3;4;10;3;3;3;3;3;2;5;4;2;3;1;1;4;2;1;2;;4;4;;0;3;1;4;1;7;1;5;2;;;1;23
6;;2;4;;2;4;3;2;6;2;2;1;;;1;1;1;1999;2;2;3;1;6;3;;2;1;5;3;2;4;2;4;4;1;7;2;1;3;4;2;1;6;2;;2;2;3;2;3;6;5;4;1;2;5;1;;;;;;3;2;2;4;2;2;1;1;3;2;2;1;1;8;3;3;2;2;3;3;6;2;1;4;3;2;3;4;7;3;5;3;3;4;4;2;3;7;4;1;3;3;5;2;2;3;2;;;2;3;3;1;6;3;3;3;5;2;2;3;2;1;2;4;4;2;3;1;1;;2;2;2;;;;4;;1;1;2;1;8;2;2;;;1;1;21
6;5;1;1;4;2;;3;2;1;1;1;1;6;1;1;1;1;2000;1;1;2;2;5;2;5;2;1;4;1;3;1;3;4;4;1;1;2;8;4;3;2;2;7;2;1;1;2;3;2;5;6;1;4;3;2;3;1;4;;1;;;1;4;2;1;1;4;1;2;2;2;4;2;1;6;3;6;2;1;2;2;7;4;2;3;1;1;4;2;10;3;4;2;7;6;3;7;8;7;4;2;2;2;2;4;4;1;2;;;4;1;2;3;5;2;4;9;10;3;3;3;3;3;2;5;4;2;3;1;1;4;2;1;;;4;4;1;10;1;1;4;1;6;1;4;2;;;1;20
1;4;1;4;;2;3;3;2;2;1;2;1;;;1;1;1;1999;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;3;3;2;2;4;4;3;3;4;2;2;1;1;1;4;2;3;2;2;1;3;4;2;2;3;4;1;5;2;2;2;2;4;5;5;10;2;2;3;2;3;4;3;3;2;;;2;2;2;3;2;3;2;5;3;2;3;3;2;2;3;2;2;2;2;2;2;;2;2;2;3;;;5;;1;2;2;3;2;2;3;;2;3;2;21
1;3;1;1;4;2;;2;2;1;1;2;1;5;2;1;1;1;1999;2;1;2;1;1;2;4;4;2;2;3;1;1;1;1;2;1;1;2;10;3;3;2;1;8;2;1;2;3;1;2;4;6;3;5;1;3;5;2;2;;2;;;2;2;2;6;2;3;1;1;2;1;2;1;1;8;1;10;1;2;1;3;6;2;1;3;4;2;2;2;10;7;10;3;10;4;7;0;5;6;3;2;2;1;4;1;1;1;2;;;4;2;2;3;6;3;3;7;10;3;4;3;3;3;2;5;4;2;3;1;1;;;1;2;;2;;1;;1;1;2;1;8;1;5;3;;;1;21
6;1;2;4;;2;2;2;1;1;2;2;1;6;2;1;1;1;1998;2;2;2;2;5;3;1;1;1;5;1;4;2;4;5;5;1;1;2;5;4;1;3;2;7;3;2;3;3;2;2;6;4;5;3;1;3;5;1;1;;1;;;2;5;4;3;1;4;2;4;1;2;2;2;1;7;3;7;2;1;1;2;7;2;3;1;4;2;4;1;7;0;4;2;10;8;0;7;2;7;3;3;1;3;5;3;2;1;2;;;4;2;2;3;7;2;4;0;10;3;3;3;3;3;2;5;4;2;3;1;1;4;2;1;1;;1;4;1;7;1;1;4;1;8;1;2;2;;;1;22
6;;1;1;4;2;4;3;2;1;1;2;1;6;1;3;1;1;1995;1;1;2;;8;2;2;1;1;5;1;5;2;5;5;5;1;1;2;4;5;2;3;2;4;2;3;2;1;2;2;5;3;6;1;4;2;6;1;3;;3;;;3;2;1;3;3;2;4;2;1;4;3;1;1;7;3;8;2;2;1;4;6;4;3;1;2;3;4;2;10;0;2;3;9;2;0;7;3;5;4;1;2;3;3;;2;1;2;;;4;2;1;3;7;3;3;2;8;2;2;2;3;3;2;5;4;2;3;1;1;4;2;1;1;;3;4;4;9;1;1;4;1;6;1;5;2;;;1;25
6;1;2;1;4;2;4;3;1;1;1;2;1;6;1;1;1;1;1999;1;1;2;2;5;2;;1;1;5;1;4;2;;5;5;;3;3;6;3;2;2;;5;;3;5;2;;2;5;3;6;4;1;3;5;1;;;;;;2;;;3;2;;1;3;2;2;3;1;1;3;;8;1;1;1;3;3;3;1;2;4;3;4;2;5;1;5;2;10;3;2;5;3;5;3;2;2;2;5;5;;1;2;;;4;;1;3;4;2;4;0;5;2;2;2;3;3;2;5;4;2;3;1;1;4;;1;;;3;4;;6;;;4;1;8;1;;2;;;3;21
;2;1;;;2;3;4;2;1;2;2;1;6;2;1;1;1;1999;2;2;2;2;5;2;;2;2;5;4;2;2;2;3;4;2;7;2;10;2;3;2;1;8;2;3;2;3;3;1;3;4;5;6;2;2;8;2;1;;1;;;3;1;4;2;2;5;1;2;2;2;3;5;3;8;3;6;2;2;4;3;6;3;2;1;4;5;5;6;7;5;10;3;7;6;4;5;5;5;4;4;2;2;2;3;3;2;2;;;3;2;1;3;4;2;3;0;5;3;3;3;3;2;2;5;1;2;3;1;1;8;2;4;;;1;3;1;4;3;1;3;2;8;3;2;4;;;1;21
6;1;1;1;4;2;2;3;3;1;1;2;1;6;1;1;1;1;1993;1;1;2;2;5;2;1;2;2;5;3;3;1;1;2;5;2;3;3;5;2;3;2;2;4;2;3;2;2;2;2;4;5;6;3;1;2;5;1;6;;1;;;2;4;5;2;1;6;1;2;4;1;5;1;1;6;1;5;2;2;1;1;10;1;2;3;4;2;1;4;10;3;6;2;8;6;1;4;0;1;4;1;1;3;5;5;2;1;1;;1;4;3;2;3;6;1;4;0;0;3;3;3;3;3;2;5;4;2;3;1;1;4;2;2;2;;1;4;;0;3;1;1;1;7;1;5;2;;;2;27
2;1;2;1;5;2;3;2;2;1;1;1;1;6;1;1;1;1;2002;1;1;3;2;7;3;1;1;1;5;3;4;2;2;3;4;1;3;2;8;3;2;2;;7;3;1;2;1;2;6;5;2;1;3;4;2;7;2;1;;1;;;3;1;2;3;2;3;2;2;2;2;2;3;3;5;3;5;2;2;2;2;6;4;3;1;2;3;3;3;5;4;7;3;3;10;1;9;0;3;2;1;1;2;2;4;3;3;2;;;3;2;1;1;7;3;3;5;8;3;2;2;1;1;2;5;4;2;3;1;1;8;2;1;2;;1;3;;0;1;2;3;1;6;2;;4;;2;3;18
1;5;2;1;4;2;4;4;1;1;1;2;1;6;1;3;1;1;1981;1;1;2;2;3;2;;3;2;5;3;2;1;2;3;5;1;7;2;7;2;4;2;2;5;2;1;1;3;3;5;4;6;2;1;3;1;1;1;2;;3;;;2;3;5;4;2;3;1;1;2;2;5;1;1;8;1;4;2;2;2;3;8;3;2;1;4;2;3;2;10;6;;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39
9;5;2;1;4;2;4;3;2;1;1;1;1;6;1;1;1;1;1999;1;1;2;2;7;2;2;3;2;4;2;2;1;3;3;3;1;3;3;7;2;3;2;1;4;2;1;2;2;2;2;5;4;6;3;1;2;4;1;3;;3;;;1;4;3;1;1;2;1;1;1;1;2;1;1;10;1;5;2;2;2;3;9;3;1;2;4;3;2;1;;4;5;2;7;6;0;8;4;6;2;3;2;1;6;2;2;2;2;;;4;1;3;3;6;3;3;6;10;3;2;3;1;1;;;4;2;;;1;4;;1;2;;3;4;;2;1;1;3;1;9;1;5;2;;;1;21
6;1;1;4;;2;3;3;1;2;1;2;1;;;2;1;1;2000;2;1;4;2;6;4;6;4;2;4;5;4;5;1;1;2;1;7;1;11;5;4;1;2;10;2;3;5;2;2;4;2;5;6;1;3;2;6;1;;4;;4;1;3;1;2;2;3;2;4;2;2;4;2;2;2;5;1;6;2;1;2;1;4;1;3;2;4;;;2;5;0;5;4;10;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;6;;;1;;3;1;4;1;9;;5;;2;;1;20
6;1;2;1;4;2;3;3;2;1;1;2;1;6;1;2;2;1;1999;1;1;2;2;6;3;2;3;2;5;4;4;2;3;4;4;1;3;3;6;3;3;3;1;6;2;1;2;1;3;2;5;4;6;1;3;2;4;2;1;;1;;;2;3;3;3;4;5;3;2;2;4;2;1;1;5;1;5;2;2;2;3;7;1;3;4;2;2;2;3;10;4;4;2;7;8;1;8;5;5;4;2;2;2;5;3;2;1;2;;;4;3;1;3;5;3;4;6;10;2;3;2;3;1;2;5;4;2;3;1;1;4;2;2;2;;3;4;;6;3;1;2;1;5;1;5;2;;;1;21
1;6;1;4;;;4;4;2;2;1;2;1;;;3;2;1;1968;1;1;2;1;1;2;;2;2;3;2;3;2;3;4;4;1;;3;3;2;3;1;2;3;2;3;1;1;2;2;6;5;4;1;3;2;1;2;;1;;1;3;3;3;3;3;1;5;1;3;1;2;3;1;1;7;1;7;1;1;1;3;7;3;2;1;4;2;2;4;9;3;10;3;10;;;;;;3;3;1;3;3;4;2;1;1;;;4;3;;4;2;1;1;4;10;1;4;4;1;1;2;;;2;3;;1;;2;1;2;4;;;4;;1;;2;1;8;2;4;;6;1;;52
6;3;1;1;4;2;3;3;2;1;1;1;1;6;1;1;1;1;1999;1;1;4;2;3;3;;1;1;5;2;5;1;5;4;5;1;1;2;7;5;3;2;2;8;2;1;2;1;2;2;6;5;1;4;3;2;3;1;6;;3;;;3;3;1;5;2;2;3;1;1;2;2;2;1;1;2;7;1;1;2;1;0;3;4;1;2;3;4;1;9;0;0;4;10;3;0;7;4;6;4;1;2;3;6;3;2;1;1;;1;3;2;1;3;6;3;4;1;10;3;3;3;3;3;2;5;4;2;3;1;;4;;1;1;;6;4;;10;3;1;5;1;5;;5;2;;;1;21
9;1;2;1;13;2;4;3;1;1;1;2;1;6;1;1;1;1;1998;2;2;2;2;7;2;2;1;1;5;2;2;2;1;3;5;1;3;2;9;2;3;2;;8;;3;2;1;3;5;2;6;3;1;4;3;9;1;;;3;;;2;2;2;4;1;4;1;1;1;1;2;1;1;6;1;7;2;1;2;2;7;2;1;3;4;3;4;1;6;3;3;3;8;2;1;7;6;8;2;1;1;3;3;2;2;1;2;;;3;;2;3;7;4;4;0;10;3;4;4;3;1;2;5;4;2;3;1;1;2;2;1;2;;3;4;;8;1;1;4;1;8;1;;2;;;1;22
4;2;1;1;4;2;2;3;2;1;1;2;1;6;1;1;1;1;1943;1;1;2;1;6;2;1;4;2;3;2;2;1;2;2;3;1;3;2;6;2;3;1;2;5;2;3;1;1;3;2;5;6;4;1;3;2;4;;1;;1;;;2;4;4;2;1;3;1;1;2;1;3;2;1;8;1;6;2;2;2;2;6;1;3;2;4;;1;2;7;5;10;2;8;8;4;6;6;6;3;4;2;2;6;3;2;2;2;;;4;;;;;;;0;5;;2;2;1;1;2;5;4;2;3;1;1;1;2;1;2;;1;;3;3;;2;2;1;5;1;;4;;;1;77
9;1;2;1;3;2;4;3;1;1;1;1;1;6;1;1;1;1;1999;1;1;4;1;6;4;3;2;4;5;1;4;1;2;2;4;2;3;1;9;1;4;2;1;6;3;2;3;1;3;5;4;2;6;3;1;2;7;2;2;;3;;;2;2;2;6;1;4;5;6;2;2;1;1;1;7;3;6;1;2;1;3;8;3;2;4;1;3;4;1;9;4;3;2;10;6;5;7;5;5;3;1;1;2;5;3;1;1;2;;;4;3;3;;3;2;2;0;6;2;2;2;3;3;3;5;4;2;3;1;1;4;2;1;2;;3;4;3;0;1;1;3;1;10;1;1;6;;;3;21
6;;1;4;;2;3;2;3;2;1;1;2;;;3;1;1;2003;2;1;1;2;4;1;3;3;2;4;1;2;2;2;2;4;1;;1;8;2;3;2;2;7;3;1;1;2;2;4;5;2;1;6;3;3;3;1;;2;;3;3;1;5;2;4;1;6;1;2;1;2;2;2;1;7;3;6;1;2;1;3;6;3;2;1;4;2;5;1;6;6;7;1;9;8;1;;;8;3;1;1;3;4;6;5;1;1;;;4;;1;2;4;3;3;3;10;3;3;3;3;3;2;5;1;2;3;4;2;;2;1;2;3;;;5;;1;1;3;1;5;;;;4;;1;17
9;1;2;1;4;2;3;3;2;1;1;2;1;6;1;2;;1;1998;1;1;2;;8;3;2;2;1;5;2;4;1;4;4;5;1;3;2;6;4;3;3;;7;;3;2;2;1;2;5;6;3;4;1;2;7;1;3;;3;;;2;2;2;4;1;4;1;3;2;4;2;2;1;8;1;7;1;2;1;3;6;2;4;1;3;3;3;2;10;2;4;3;9;5;0;8;6;8;3;1;2;2;4;2;3;2;2;;;4;;1;3;5;2;3;7;10;3;3;3;3;2;2;5;4;2;3;1;1;4;2;1;;;3;4;;10;1;1;2;1;6;1;3;2;;;1;22
9;1;2;18;;1;3;3;1;1;1;1;1;6;1;1;1;2;2000;2;2;;2;10;;1;3;4;5;1;4;3;2;3;4;1;3;2;1;2;3;2;;10;3;1;2;1;3;4;5;3;6;2;1;1;5;2;;;3;;;2;5;3;5;1;3;1;2;3;;3;;2;7;3;3;4;1;;4;7;3;2;1;4;2;3;2;8;4;8;2;10;8;5;9;;5;4;1;3;2;6;1;2;2;2;;;3;1;1;4;5;3;3;0;8;3;4;3;3;1;2;5;4;2;3;1;1;4;2;1;2;;3;4;;8;1;1;;1;10;1;5;6;;;1;20
2;6;2;4;;;2;2;2;2;1;2;1;;;1;2;1;1994;1;1;4;2;9;4;;3;2;2;3;4;2;2;1;2;1;;2;6;3;4;2;1;5;2;3;2;2;2;2;4;3;6;5;1;2;7;2;;7;;6;2;3;4;1;5;2;2;1;2;2;2;;5;3;8;1;0;4;3;2;2;8;4;3;1;2;;3;;8;7;5;3;5;;;;;;1;3;3;3;4;4;2;3;2;;;2;3;3;;4;1;1;5;5;3;2;2;1;1;;;;2;;;1;;;2;1;5;;;2;;3;3;2;1;5;1;5;;4;;1;26
6;6;2;3;;1;3;2;2;1;2;1;1;6;2;1;1;1;1999;1;1;3;;6;3;2;1;1;5;2;3;2;2;3;4;1;3;1;9;3;3;2;;8;;3;5;1;;5;2;3;6;1;4;3;7;1;3;;3;;;3;1;2;3;1;3;1;4;3;;2;1;1;6;3;6;2;3;2;3;8;1;3;4;2;;3;2;7;4;5;3;7;5;0;9;6;7;2;1;3;2;5;1;3;2;2;;;;1;1;4;7;4;3;5;10;3;3;3;3;2;2;5;4;2;3;1;1;4;2;1;1;;3;4;;5;1;1;3;1;7;1;;2;;;1;21
6;1;2;1;4;2;4;2;3;1;1;2;1;6;1;1;1;1;1999;1;1;2;2;4;2;2;3;1;4;3;3;1;2;3;3;1;3;3;7;3;2;2;1;8;2;3;2;2;3;5;6;2;4;1;3;3;1;1;1;;3;;;2;4;4;4;2;4;1;1;2;3;3;3;1;7;1;2;3;2;3;3;7;3;1;4;2;1;3;2;10;4;10;2;4;5;0;8;7;7;4;3;2;2;2;1;4;2;2;;;2;3;3;3;6;4;2;5;8;3;4;3;2;1;4;5;4;2;3;1;1;2;2;1;2;;3;4;3;7;1;1;2;1;8;1;5;2;;;1;21
